product_id,product_name,main_category,sub_category,price(OMR),about_product,img_link
B00R1P3B4O,Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,Electronics,Accessories,2.306,"10 sheets of Instax film compatible with Fujifilm Mini cameras- Mini 8, Mini9, Mini 11, Mini 90, Mini 40, Liplay and Mini Link Printer|Mini films comes with superb grain quality which produces vibrant colors and natural skin hues.|Press the button and capture your moment of joy which develops instantly into beautiful pictures.|Film size - 54(w) x 86(h) mm|Picture size - 46(w) x 62(h) mm|Number of prints - 10 per pack|Country of Origin: Japan",https://m.media-amazon.com/images/I/51fEftU7HAL._SX300_SY300_QL70_FMwebp_.jpg
B09PL79D2X,"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx  Tech, Beast  Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP  Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Cool Grey)",Electronics,Headphones,12.558,"Clear Voice Calls- Be heard absolutely clear across voice calls without those usual interruptions, with the ENx Tech enabled Airdopes 181, that cancels out unwanted background noises during calls|Beast Mode- Enjoy a lag less entertainment experience with BEAST Mode for low latency so that your gaming sessions always stay smooth.|ASAP Charge- Courtesy our ASAP Charge tech, these true wireless earbuds can garner up to 90Min of playtime in just 10Min of charging.|Playback- It offers a total playtime of up to 20HRS, including up to 4HRS of playtime per charge.|Drivers- Delve into the boAt immersive auditory experience on Airdopes 181 true wireless earbuds courtesy its 10mm audio drivers|Instant Connect- The IWP tech makes it easier to power on the TWS earbuds which occurs as soon as you open the case lid when the earbuds are being kept inside.|IP Rating- The ultra-lightweight earbuds are marked with IPX4 water resistance for a carefree listening time wherever you go.",https://m.media-amazon.com/images/I/314g1W9h2rL._SX300_SY300_QL70_FMwebp_.jpg
B07VQGVL68,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),Home,SmallKitchenAppliances,2.096,"Wide LCD screen display, easy to read, Automatically locks the reading when data is stable|Low power consumption, Low battery indicator,Tare function, Maximum Capacity 10kg|The scale will automatically switched off when it is in non-use condition in order to save power|High-precision tension meter sensing system, 1G Measuring Increments, Power by 1.5V 2 x AA batteries|Color: White, With 3 Button on the scale, that is on/off,Mode,Tare, Material: PVC|Place weighing scale on flat surface to use",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31p014p14mL._SX342_SY445_QL70_FMwebp_.jpg
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),Electronics,Headphones,4.196,"The perfect way to add some style and stand out from the crowd with the boAt BassHeads 100 ""Hawk"" inspired earphones|The stylish BassHeads 100 superior coated wired earphones are a definite fashion statement - wear your attitude with its wide variety of collection|The powerful 10mm dynamic driver with the speaker resistance of 16 ohm enables the earphone to deliver a punchy, rhythmic response to the most demanding tracks|Features a HD microphone to make crystal clear calls - making life easier on the go, play/pause music or answer/end calls with one-click, track forward with two-clicks or back with 3 clicks make these earphones extremely user-friendly|With 1.2 meters perfect length cable now plug it in anywhere with ease - while the earphones are extremely user-friendly and stylish, extruding premium coating on the wire cable is a manufacturing process that we've been performing and refining since our company's inception|Its impeccable fit won't let you take these wonderfully amazing earphones off, fits you perfectly without hurting your ears and the perfect arc, with different size ear tips helps you in achieving superior comfort even with long listening hours.|1 year warranty from the date of purchase",https://m.media-amazon.com/images/I/31J6I7SrLXL._SX300_SY300_QL70_ML2_.jpg
B09P858DK8,"WeCool C1 Car Mobile Holder with One Click Technology,360Â° Rotational, Strong Suction Cup,Compatible with 4 to 6 Inch Devices, Wildshield and Dashboard Mobile Holder for Car, and Use",Electronics,MobileAccessories,8.396,"One Click Release : Inserting or releasing your phone to the Mobile holder for Car Dashboard is made very simple with this WeCool Smart Gadget. Just use a single hand to lock or unlock the phone in your Car|360Â° FULLY ROTATIONAL Mobile Holder : WeCool Mobile holder with a 360Â° rational body so that you can watch from your preferred angle after fixing the Mobile Phone holder car. Find the viewing angle that does not hamper your driving or GPS navigation|Mobile Phone Holder Car C1 can easily accommodate smartphones with screen sizes of 4 to 6 inches. It is also designed intelligently to connect any cables from the space below the charging port. Also you can view your phone notifications better.|Anti Scratch and Shake Proof Mobile stand for Car Dashboard. The Super Power grip from double shift locking and super strong sticky Gel Pad and Premium ABS Body saves your phone in every situation|Car Mobile holder for dashboard or Windshield is designed for fixing on WindShield or Dashboard of your car. Firm Grip on plain surface as well Textured Surface ensuring maximum safety to your phone|This WeCool Gadget is covered with 1 Year Brand Warranty. To avail the Warranty, register your product in the brand website with in 10 days of purchase. Reach the Customer support team at 9036228529 for Technical support or any other Query.",https://m.media-amazon.com/images/I/41fkuZKjGCL._SX300_SY300_QL70_ML2_.jpg
B07N2MGB3G,"AGARO Marvel 9 Liters Oven Toaster Griller, Cake Baking OTG (Black)",Home,SmallKitchenAppliances,8.396,"Bake, Grill, Toast and more|1 Year Manufacturer's Warranty|Automatic Thermostat I Auto Shut Off I Ready Bell. Cavity Material: Stainless Steel|Heat resistant tempered glass window with Cool Touch Handle|Adjustable temperature from 100Â°C to 250Â°C",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41LKiR8QpwL._SX300_SY300_QL70_FMwebp_.jpg
B09P8M18QM,7SEVENÂ® Compatible with Fire Tv Stick Remote with Voice Command Feature Suitable for Second Generation Amazon Fire Tv Stick Remote Only - Pairing Must,Electronics,Accessories,12.596,"[ Amazon Fire Tv Stick Remote ] New Replacement Voice Remote Control (2nd GEN) with Power and Volume Control fit for Fire TV Device, compatible with Fire TV Cube (2nd Gen), Fire TV Stick (2nd Gen), Fire TV Stick 4K, Fire TV Cube (1st Gen), Amazon Fire TV Cube (EX69VW) ï¼ŒAmazon Fire TV Stick (3rd Gen) and Amazon Fire TV (3rd Gen, Pendant Design)|[Fire Tv Stick Remote Only ] Not compatible with Amazon Fire TV Stick Lite, Amazon Fire TV (1st and 2nd Gen), Fire TV Stick (1st Gen), or Amazon Fire TV Edition smart TVs.|[ Pairing Required] This is voice remote control, you need to pair it first before you use, and below is pairing steps: Press the Home button about 8-30 seconds until the LED starts to rapidly flash amber, then the remote should automatically pair with your device.|[ Fire Tv Stick Remote Quality ]With standard navigation and playback controls, you can quickly skip to your favorite scenes.|[ First Use of Fire Tv Stick ] Recommend to use new AAA Alkaline batteries instead of used or old battery which doesn't perform to pair remote with amazon fire tv stick device",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31w1SSKA-tL._SX300_SY300_QL70_FMwebp_.jpg
B07LG96SDB,ESN 999 Supreme Quality 1500W Immersion Water Heater Rod (Black),Home,WaterHeaters,2.142,Specially designed heating element for quick heating|1500W Power|Anti-corrosive Material|Hairpin tubular elements ; 3 Pin Plug|NOTE: Black/busted melted pipes does not come under warranty is due to dry heating or not maintaining water level.,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41d2SJq5sxL._SX300_SY300_QL70_FMwebp_.jpg
B0B4F2ZWL3,"Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics,Smartphones,75.596,"6000mAh lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase|Upto 12GB RAM with RAM Plus | 128GB internal memory expandable up to 1TB| Dual Sim (Nano)|50MP+5MP+2MP Triple camera setup- True 50MP (F1.8) main camera +5MP(F2.2)+ 2MP (F2.4) | 8MP (F2.2) front cam|Android 12,One UI Core 4 with a powerful Octa Core Processor|16.72 centimeters (6.6-inch) FHD+ LCD - infinity O Display, FHD+ resolution with 1080 x 2408 pixels resolution, 401 PPI with 16M color",https://m.media-amazon.com/images/I/41fNkwj-vnL._SX300_SY300_QL70_ML2_.jpg
B00LM4X3XE,Parker Quink Ink Bottle (Black),OfficeProducts,Paper,0.42,Black Colour is washable in nature.|30ml Bottle|High quality ink,https://m.media-amazon.com/images/I/41ds2zVHE4L._SX300_SY300_QL70_FMwebp_.jpg
B0BBLHTRM9,IONIX Tap filter Multilayer | Activated Carbon Faucet Water Filters Universal Interface Home Kitchen Faucet Tap Water Clean Purifier Filter Cartridge Five Layer Water Filter-Pack of 1,Home,WaterPurifiers,2.936,"Faucet Water Filter: Built-in layered filter can separate coconut activated carbon, zeolite, PVA non-woven?fabrics, calcium sulfite and rubber, which applys to purify hard water and well water.|Healthy Lifestyle: Remove the water in the chlorine, heavy metals, other impurities,water more sweet, more secure.|Easy to Clean : A must item for home & office use,100% new and high quality.High temperature resistance, not easy to deform.To clean, simply remove the strainer and rinse it off under the water.|Water-saving :Made of soft rubber material can prevent water leak which can save water for your each time using.; Package List:1 * Faucet Filter|Included Components: 1 X Five Layer Faucet",https://m.media-amazon.com/images/I/41n90w1dlJL._SY445_SX342_QL70_FMwebp_.jpg
B0B9RN5X8B,V-Guard Zio Instant Water Geyser | 3 Litre | 3000 W Heating | White-Blue | | 2 Year Warranty,Home,WaterHeaters,19.74,"POWERFUL INSTANT HEATING:Â The geyser is powered by a superior 3 kW heating element with a copper sheath and high-grade magnesium oxide insulation for quick movement of heat|ADVANCED 4 LAYER SAFETY:Â Pressure release valve for safer operations at higher pressures, ISI marked thermostat for cutting off power supply when temperature exceeds 55Â°C, Overheating protection through disc type snap action safety device operating at 90Â°C & Anti-siphon Protection for preventing the reverse flow of water|STYLISH & ENERGY EFFICIENT :Â This Instant Water Heater maintains maximum heat retention with eco-friendly insulation and has an stylish colour display panel indicating the status of heat and power|HIGH DURABILITY: Robust Inner Tank of Zio is made of high-grade 304 Stainless Steel | Rust-proof high-quality engineering polymer constitutes the Outer Body, preventing rust formation|WARRANTY: V-Guard Zio has a warranty of 2 Year on Product, 2 Year on Heating Element and 5 Year on Inner Tank|PAN INDIA INSTALLATION AVAILABLE: Installation can be availed at INR 299 (Incl. GST) while the Inlet and Outlet Connection Pipes can be purchased from the technician on a chargeable basis (INR.250)|PAN INDIA SERVICE NETWORK: V-Guard Instant Water Geysers have a Pan India Service Network. You can also reach us atÂ 1800-103-1300 (Toll Free) | 1860-180-3000 (Toll) or send a â€œHiâ€ via WhatsApp to +91963350333 or email us at customercare@vguard.in",https://m.media-amazon.com/images/I/21ndIZtC7HL._SX300_SY300_QL70_FMwebp_.jpg
B017PDR9N0,"GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder, Desktop Stand, Cradle, Dock for iPad, Smartphone, Kindle, E-Reader, Fully Foldable, Adjustable Angle, Anti-Slip Pads, Black",Computers,TabletAccessories,2.096,"Double leg is made of high qualified at the bottom of the antiskid foam material, by using two width, can be flat on the table|Using high-quality environmental engineering plastic material, effective to reduce travel weight|Portable and folding universal stand for 7-10 inch Tablet PC|Joints using automatic spacing device, adjust the Angle is not adjust anywhere, can be directly which can adjust the Angle|Also can solve the problem of tablet can only be placed horizontally cannot be put vertical|This stand can unfold and stand up as trIpod to hold tablet PC at perfect typing angle and better angle of view and better watching effect effect|0",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41wL36XZGXL._SX300_SY300_QL70_FMwebp_.jpg
B082T6GVLJ,"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",Computers,Cables,7.598,Added Protection: An additional layer of protection has been added to the Lightning and USB ends to improve durability and reduce fraying;,https://m.media-amazon.com/images/I/31kw1RgU5yL._SX300_SY300_QL70_FMwebp_.jpg
B07CWDX49D,"AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable, Charging Adapter, Smartphone 6 feet, Dark Grey",Computers,Cables,6.72,"Connect USB Type-C enabled devices (MacBook, Chromebook Pixel, Galaxy Note 7, etc.) with standard USB Type-C 2.0 enabled devices and accessories (smartphones, car/wall charger, multi-port adapters, etc.)|Ideal for charging and powering USB Type-C enabled devices, as well as syncing data, photos, and music; Type-C port is half the width and one-third the height of a standard USB-A connector (slightly larger compared to Lightning or Micro-USB ports)|Reversible designâ€”easily insert the connector into any Type-C enabled device (does not matter which side is up)|Durable braided nylon fiber cloth provides protection, strength, and flexibility; added layer of protection for improved durability and to reduce fraying; cables have been tested to bend 95-degrees 5,000 times; fun contemporary color options for a trendy appearance|Up to 480 Mbps data transfer speed; power output up to 5V, 3 amp; certified by USB-IF to be compliant with USB 2.0|1 year limited warranty",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41AUgZQAs5L._SX300_SY300_QL70_FMwebp_.jpg
B09TMZ1MF8,Western Digital WD Green SATA 240GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5 inches - WDS240G3G0A,Computers,InternalSolidStateDrives,16.8,"SLC (single-level cell) caching boosts write performance to quickly perform everyday tasks.|Shock-resistant and WD F.I.T. Lab certified for compatibility and reliability.|Ultra-low power-draw so you can use your laptop for longer periods of time.|Available in 2.5""/7mm cased and M.2 2280 form factors to accommodate most PCs.|The free, downloadable Western Digital SSD Dashboard* lets you easily monitor the status of your drive. Includes a 3-year limited warranty so upgrading your storage is worry-free.",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kFRC4fP6L._SY300_SX300_QL70_FMwebp_.jpg
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Computers,Cables,3.549,"Connect Usb Type-C Enabled Devices (Macbook, Chromebook Pixel, Galaxy Note 7 Etc.) With Standard Usb Type-C 2.0 Enabled Devices And Accessories (Smartphones, Car/Wall Charger, Multi-Port Adapters Etc.)|1 Year Limited Warranty|Up To 480 Mbps Data Transfer Speed; Power Output Up To 5V, 3 Amp|Certified By Usb-If To Be Compliant With Usb 2.0|Type-C Port Is Half The Width And One-Third The Height Of A Standard Usb-A Connector (Slightly Larger Compared To Lightning Or Micro-Usb Ports)|Ideal For Charging And Powering Usb Type-C Enabled Devices, As Well As Syncing Data, Photos And Music|Reversible Design - Easily Insert The Connector Into Any Type-C Enabled Device (Does Not Matter Which Side Is Up)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/414y0iu5NUL._SX300_SY300_QL70_FMwebp_.jpg
B0711PVX6Z,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers,Cables,2.1,"Micro usb charging cable for android phones|Supports up to 480 mbps data transmission speed|Ideal for charging android phones and tablets or connecting pc peripherals such as hard drives, printers, and more|Gold-plated connectors resist corrosion for signal purity|Smaller connector designed to fit smaller spaces|Compact connector head works with nearly all cases|Improved charging capability up to 2100 ma",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31iESA2h2gL._SY300_SX300_QL70_FMwebp_.jpg
B08H673XKN,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",Home,SmallKitchenAppliances,32.739,"Wattage: 750 W; Voltage: 220-240V; Revolution: 20000; 4 Jars with Juicer Jar. Juicer Type : Centrifugal Juicer. Locking System : Yes|Don't worry if you experience burning smell when you run your mixer grinder for the 1st time, it's due to the varnish. If the issue persists subsequesntly, kindly contact the customer care|Since your mixer grinder runs on a powerful motor, there will be some noise. If the noise level seems abnormal, please contact Brand Service Centre|Juicer Jar: 1.7 Litres, Liquidising Jar: 1.5 Litres, Dry/Wet Grinding Jar: 1 Litre, Chutney Jar: 0.4 Litres, Non-slip Feet - Yes|Powerful UltronMax for efficient juicing and grinding|4 hardened stainless steel blade for multiple functions|3 Speed control with incher facility",https://m.media-amazon.com/images/I/417XNLkkFRL._SX300_SY300_QL70_FMwebp_.jpg
B07VVXJ2P5,SVM Products Unbreakable Set Top Box Stand with Dual Remote Holder (Black),Electronics,Accessories,1.676,"Material : Plastic Unbreakable, Colour : Black|Product : Set Top Box Stand With Remote Holder|Size : 21 x 15 x 5 cm|Product Use : For Set Top Box And Remote / Wifi Stand / Telephone Stand / Cell Phone Charging Dock|Installation : Wall drilling required for this product. It can be installed through anchor and screws provided with the product.",https://m.media-amazon.com/images/I/41QvckgGiCL._SY300_SX300_QL70_FMwebp_.jpg
B00LUGTJGO,Bajaj RHX-2 800-Watt Room Heater (White),Home,RoomHeaters,6.506,"Efficient Warmth: Ideal for use in in small rooms, this noiseless 800 Watts heater provides instant heating during winters. Effective Cord Length (in meters) 1.5|Personalized Comfort: Customize to your heating needs with two heat settings (500 W/ 1000 W)|Peace of Mind: Featuring dual safety device: Tip over switch against tilting and a Thermal fuse|Reliable & Safe: Our room heaters are dependable and they also come with a 2 Year warranty",https://m.media-amazon.com/images/I/519JHuNt1RL._SX300_SY300_QL70_FMwebp_.jpg
B07B88KQZ8,"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, JBL Signature Sound, Vibrant Color Options with IPX7 Waterproof & AUX (Blue)",Electronics,Speakers,12.596,"5 Hours of Playtime under optimum audio settings|Wireless Bluetooth Streaming|IPX7 Waterproof design, Battery Type Lithium-ion polymer (3.7V, 730mAh), Charging time (hrs) 2.5|Built-in Noise-cancelling Speakerphone|Audio cable input|Whatâ€™s in the box: 1 x JBL GO 2, 1 x Micro USB cable for charging, 1 x Safety Sheet, 1 x Quick Start Guide, 1 x Warranty Card",https://m.media-amazon.com/images/I/51RTfgkScMS._SX300_SY300_QL70_FMwebp_.jpg
B01KK0HU3Y,HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life /Ambidextrous and Slim Design (Modern Gold),Computers,"Keyboards,Mice",6.296,"Designed with flair, the sleek design complements your favorite HP devices and fits comfortably anywhere|The 2.4GHz wireless connection reliably keeps you hooked up|With up to 16 months of life on a single AA battery, this mouse was designed to push the limits|Blue LED technology lets your mouse function on a wide range of surfaces, so you can work from almost anywhere|1200DPI optical sensor give you exceptional accuracy and incredible speed|Just pop in the battery, plug in the USB receiver and youâ€™re good to go|The USB receiver fits conveniently inside the mouse, for effortless portability|Supports Windows Vista/7/8/10 and USB port available",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31R5FtHMDiL._SY300_SX300_QL70_FMwebp_.jpg
B07WJV6P1R,"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",Electronics,Smartphones,79.796,"World's First Snapdragon 4 Gen 1 Processor, that allows you to level up your performance with confidence through its efficient 6nm Process.|Best In-Segment 120Hz Screen Refresh Rate: Which comes with lagfree & nimble scrolling. The FHD+ display lets you enjoy to the fullest with every game you play and every content you watch with its crisp detailing of colours.|5000mAh Battery: Keeps iQOO Z6 Lite 5G to a longer usage, for a more enjoyable gaming and video experience, which offers Music Playback Time of 127 Hours, Social Media of 21.6 hours, OTT Streaming of 14.5 hours and Gaming of 8.3 hours.|50MP Eye Autofocus main camera, is designed to address the out-of-focus issues. The feature performs fast Eye Autofocus at a high refresh rate, allowing the camera to maintain a stable and clear focus on the subjects in movement.|Stylish & Slim Design: 8.25mm Thin & 194g Weight, with All new 2.5D flat frame design with Matt finish",https://m.media-amazon.com/images/I/4105IiC5tDL._SX300_SY300_QL70_ML2_.jpg
